timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729794610777,292,getIndex,200,OK,Thread Group 1-33,text,true,,621,130,114,114,http://gryffindor.hogwarts.B23.com/,292,0,121
1729794611099,18, getLogin,200,OK,Thread Group 1-33,text,true,,841,143,118,118,http://gryffindor.hogwarts.B23.com/php/login.php,13,0,0
1729794611117,50,postLogin,200,OK,Thread Group 1-33,text,true,,870,261,123,123,http://gryffindor.hogwarts.B23.com/php/login.php,50,0,0
1729794611169,27,getLogout,200,OK,Thread Group 1-33,text,true,,1217,287,126,126,http://gryffindor.hogwarts.B23.com/php/login.php,13,0,0
1729794611169,13,getLogout-0,302,Found,Thread Group 1-33,text,true,,376,144,126,126,http://gryffindor.hogwarts.B23.com/php/logout.php,13,0,0
1729794611183,13,getLogout-1,200,OK,Thread Group 1-33,text,true,,841,143,126,126,http://gryffindor.hogwarts.B23.com/php/login.php,13,0,0
1729794611160,93,getIndex,200,OK,Thread Group 1-124,text,true,,625,130,131,131,http://gryffindor.hogwarts.B23.com/,93,0,1
1729794611172,83,getIndex,200,OK,Thread Group 1-125,text,true,,620,130,131,131,http://gryffindor.hogwarts.B23.com/,83,0,0
1729794611185,72,getIndex,200,OK,Thread Group 1-126,text,true,,621,130,131,131,http://gryffindor.hogwarts.B23.com/,72,0,0
1729794610777,303,getIndex,200,OK,Thread Group 1-34,text,true,,620,130,114,114,http://gryffindor.hogwarts.B23.com/,303,0,121
1729794610777,304,getIndex,200,OK,Thread Group 1-44,text,true,,621,130,114,114,http://gryffindor.hogwarts.B23.com/,304,0,120
1729794610776,318,getIndex,200,OK,Thread Group 1-46,text,true,,625,130,116,116,http://gryffindor.hogwarts.B23.com/,318,0,121
1729794610772,322,getIndex,200,OK,Thread Group 1-82,text,true,,625,130,116,116,http://gryffindor.hogwarts.B23.com/,322,0,121
1729794610778,294,getIndex,200,OK,Thread Group 1-64,text,true,,625,130,116,116,http://gryffindor.hogwarts.B23.com/,251,0,123
1729794610778,294,getIndex,200,OK,Thread Group 1-11,text,true,,620,130,115,115,http://gryffindor.hogwarts.B23.com/,233,0,122
1729794610777,317,getIndex,200,OK,Thread Group 1-28,text,true,,621,130,116,116,http://gryffindor.hogwarts.B23.com/,211,0,121
1729794610779,292,getIndex,200,OK,Thread Group 1-25,text,true,,621,130,116,116,http://gryffindor.hogwarts.B23.com/,280,0,124
1729794610779,292,getIndex,200,OK,Thread Group 1-31,text,true,,620,130,116,116,http://gryffindor.hogwarts.B23.com/,279,0,124
1729794610779,293,getIndex,200,OK,Thread Group 1-76,text,true,,621,130,116,116,http://gryffindor.hogwarts.B23.com/,276,0,124
1729794610779,293,getIndex,200,OK,Thread Group 1-72,text,true,,620,130,116,116,http://gryffindor.hogwarts.B23.com/,275,0,123
1729794610779,293,getIndex,200,OK,Thread Group 1-52,text,true,,625,130,116,116,http://gryffindor.hogwarts.B23.com/,273,0,123
1729794610779,293,getIndex,200,OK,Thread Group 1-55,text,true,,621,130,116,116,http://gryffindor.hogwarts.B23.com/,269,0,123
1729794610779,293,getIndex,200,OK,Thread Group 1-43,text,true,,620,130,116,116,http://gryffindor.hogwarts.B23.com/,267,0,123
1729794610779,293,getIndex,200,OK,Thread Group 1-42,text,true,,625,130,116,116,http://gryffindor.hogwarts.B23.com/,266,0,123
1729794610778,294,getIndex,200,OK,Thread Group 1-40,text,true,,621,130,116,116,http://gryffindor.hogwarts.B23.com/,266,0,124
1729794610778,294,getIndex,200,OK,Thread Group 1-37,text,true,,620,130,116,116,http://gryffindor.hogwarts.B23.com/,265,0,124
1729794610778,294,getIndex,200,OK,Thread Group 1-36,text,true,,625,130,116,116,http://gryffindor.hogwarts.B23.com/,263,0,124
1729794610778,294,getIndex,200,OK,Thread Group 1-69,text,true,,621,130,116,116,http://gryffindor.hogwarts.B23.com/,261,0,124
1729794610778,294,getIndex,200,OK,Thread Group 1-68,text,true,,620,130,116,116,http://gryffindor.hogwarts.B23.com/,260,0,124
1729794610777,295,getIndex,200,OK,Thread Group 1-5,text,true,,625,130,116,116,http://gryffindor.hogwarts.B23.com/,260,0,125
1729794610778,294,getIndex,200,OK,Thread Group 1-67,text,true,,621,130,116,116,http://gryffindor.hogwarts.B23.com/,258,0,124
1729794611073,128,getIndex,200,OK,Thread Group 1-106,text,true,,621,130,126,126,http://gryffindor.hogwarts.B23.com/,128,0,1
1729794611069,130,getIndex,200,OK,Thread Group 1-105,text,true,,620,130,126,126,http://gryffindor.hogwarts.B23.com/,130,0,1
1729794611068,127,getIndex,200,OK,Thread Group 1-109,text,true,,621,130,126,126,http://gryffindor.hogwarts.B23.com/,127,0,0
1729794610960,233,getIndex,200,OK,Thread Group 1-104,text,true,,620,130,126,126,http://gryffindor.hogwarts.B23.com/,233,0,0
1729794610950,240,getIndex,200,OK,Thread Group 1-103,text,true,,625,130,125,125,http://gryffindor.hogwarts.B23.com/,240,0,0
1729794610789,398,getIndex,200,OK,Thread Group 1-86,text,true,,621,130,125,125,http://gryffindor.hogwarts.B23.com/,398,0,158
